iter	Passed	Remaining
0	133	133337
1	149	74587
2	165	54885
3	181	45180
4	201	40096
5	218	36153
6	229	32571
7	247	30681
8	264	29163
9	279	27712
10	300	26998
11	310	25603
12	323	24564
13	341	24045
14	360	23692
15	370	22767
16	382	22099
17	393	21473
18	406	21005
19	424	20797
20	436	20363
21	442	19690
22	461	19616
23	481	19590
24	495	19319
25	505	18943
26	525	18929
27	534	18559
28	546	18295
29	560	18116
30	576	18010
31	591	17892
32	603	17696
33	620	17622
34	637	17586
35	647	17330
36	671	17485
37	682	17287
38	689	16988
39	708	17008
40	722	16902
41	735	16774
42	742	16518
43	754	16395
44	760	16144
45	768	15933
46	778	15775
47	797	15824
48	810	15737
49	821	15613
50	835	15548
51	847	15444
52	860	15371
53	870	15250
54	882	15157
55	888	14969
56	898	14865
57	907	14731
58	916	14613
59	922	14454
60	932	14357
61	943	14274
62	953	14181
63	964	14105
64	976	14039
65	987	13972
66	996	13882
67	1011	13860
68	1023	13812
69	1035	13753
70	1042	13635
71	1049	13520772	1059	13450773	1064	1332274	1072	13222
75	1078	13117
76	1092	13097
777	1105	13062778	1119	13051779	1129	12984880	1138	12920881	1151	12887882	1161	1282683	1164	12698
84	1171	12609
885	1193	12681886	1205	1265587	1215	12593
88	1222	12515
89	1235	12488
90	1244	12435
91	1253	12373
92	1266	12350
93	1279	12330
94	1291	12305
95	1307	12310
96	1320	12295
97	1333	12276
98	1342	12218
99	1359	12231
100	1371	12209
101	1380	12155
102	1393	12134
103	1396	12030
104	1408	12004
105	1421	11991
106	1430	11938
107	1441	11904
108	1457	11915
109	1468	11882
110	1481	11865
111	1487	11790
112	1499	11774
113	1509	11728
114	1531	11789
115	1544	11766
116	1555	11742
117	1568	11720
118	1582	11719
119	1599	11731
120	1607	11674
121	1616	11631
122	1635	11658
123	1654	11690
124	1664	11649
125	1678	11640
126	1688	11609
127	1698	11573
128	1713	11566
129	1730	11584
130	1741	11549
131	1750	11510
132	1761	11484
133	1768	11430
134	1777	11389
135	1788	11363
136	1799	11336
137	1808	11298
138	1813	11236
139	1827	11227
140	1838	11201
141	1846	11157
142	1855	11122
143	1861	11067
144	1870	11027
145	1882	11009
146	1888	10959
147	1901	10946
148	1909	10908
149	1918	10871
150	1923	10815
151	1929	10765
152	1936	10721
153	1949	10707
154	1963	10704
155	1979	10711
156	1986	10664
157	1994	10628
158	2002	10593
159	2016	10585
160	2020	10526
161	2034	10524
162	2052	10541
163	2062	10511
164	2076	10507
165	2092	10510
166	2097	10461
167	2109	10445
168	2119	10424
169	2133	10418
170	2145	10401
171	2157	10386
172	2168	10365
173	2183	10365
174	2199	10367
175	2212	10357
176	2217	10311
177	2223	10268
178	2229	10226
179	2242	10216
180	2251	10186
181	2269	10202
182	2285	10202
183	2300	10201
184	2315	10200
185	2327	10184
186	2333	10143
187	2345	10129
188	2358	10122
189	2363	10074
190	2379	10076
191	2385	10041
192	2397	10024
193	2409	10011
194	2416	9976
195	2429	9966
196	2437	9937
197	2444	9902
198	2455	9883
199	2464	9856
200	2474	9837
201	2477	9786
202	2488	9769
203	2496	9741
204	2504	9713
205	2511	9681
206	2524	9671
207	2536	9659
208	2549	9647
209	2563	9644
210	2574	9628
211	2578	9586
212	2591	9574
213	2603	9563
214	2617	9557
215	2626	9534
216	2638	9518
217	2661	9546
218	2667	9514
219	2678	9494
220	2682	9454
221	2692	9437
222	2701	9412
223	2710	9389
224	2722	9377
225	2731	9354
226	2735	9316
227	2744	9292
228	2754	9273
229	2766	9261
230	2783	9267
231	2797	9259
232	2808	9246
233	2818	9225
234	2826	9202
235	2831	9167
236	2842	9150
237	2851	9129
238	2863	9119
239	2870	9091
240	2885	9086
241	2892	9058
242	2900	9035
243	2916	9034
244	2927	9022
245	2944	9026
246	2955	9009
247	2962	8983
248	2979	8986
249	2992	8977
250	3002	8958
251	3015	8949
252	3025	8933
253	3038	8923
254	3051	8915
255	3079	8950
256	3091	8938
257	3102	8923
258	3111	8902
259	3124	8893
260	3132	8869
261	3146	8863
262	3163	8864
263	3179	8865
264	3191	8852
265	3208	8854
266	3219	8838
267	3239	8847
268	3249	8830
269	3268	8836
270	3286	8839
271	3293	8814
